artist_id,name,genre,popularity_score,formation_date,members,spotify_id,created_at,updated_at
art_000001,Golden Stars,jazz|hip hop|rock,6.19,1977-11-29,Member 1|Member 2|Member 3,spotify_000001,2025-11-17T02:43:33.073646,2025-11-17T02:43:33.073647
art_000002,Cosmic Thunder,rock|indie|jazz,73.58,2020-11-18,Member 1|Member 2|Member 3,spotify_000002,2025-11-17T02:43:33.073826,2025-11-17T02:43:33.073827
art_000003,Storms,electronic|pop,45.59,2001-11-23,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000003,2025-11-17T02:43:33.073844,2025-11-17T02:43:33.073844
art_000004,Winds,hip hop,75.58,2006-11-22,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000004,2025-11-17T02:43:33.073854,2025-11-17T02:43:33.073854
art_000005,Stars,jazz|country|reggae,87.95,1993-11-25,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000005,2025-11-17T02:43:33.073862,2025-11-17T02:43:33.073862
art_000006,Golden Legends,reggae|r&b,69.8,1970-12-01,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000006,2025-11-17T02:43:33.073870,2025-11-17T02:43:33.073870
art_000007,Echoes,pop|blues|country,50.6,2018-11-19,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000007,2025-11-17T02:43:33.073877,2025-11-17T02:43:33.073877
art_000008,Legends,latin,86.62,1983-11-28,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000008,2025-11-17T02:43:33.073888,2025-11-17T02:43:33.073888
art_000009,Tigers,country|r&b,27.2,2001-11-23,Member 1|Member 2|Member 3,spotify_000009,2025-11-17T02:43:33.073896,2025-11-17T02:43:33.073896
art_000010,Moons,funk|classical|soul,51.54,1982-11-28,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000010,2025-11-17T02:43:33.073903,2025-11-17T02:43:33.073904
art_000011,Suns,alternative,25.27,2020-11-18,Member 1|Member 2,spotify_000011,2025-11-17T02:43:33.073910,2025-11-17T02:43:33.073910
art_000012,Midnight Waves,alternative,73.6,1980-11-28,Member 1|Member 2|Member 3|Member 4,,2025-11-17T02:43:33.073917,2025-11-17T02:43:33.073917
art_000013,Electric Winds,country,95.15,2007-11-22,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000013,2025-11-17T02:43:33.073924,2025-11-17T02:43:33.073924
art_000014,Dragons,blues|alternative|jazz,15.89,1993-11-25,Member 1|Member 2,spotify_000014,2025-11-17T02:43:33.073930,2025-11-17T02:43:33.073930
art_000015,Flames,folk|disco,7.93,2014-11-20,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,spotify_000015,2025-11-17T02:43:33.073939,2025-11-17T02:43:33.073939
art_000016,Diamond Skies,country|jazz,10.37,2004-11-22,Member 1|Member 2|Member 3|Member 4,spotify_000016,2025-11-17T02:43:33.073945,2025-11-17T02:43:33.073945
art_000017,Electric Dreams,country|punk,76.24,2013-11-20,Member 1|Member 2|Member 3|Member 4,,2025-11-17T02:43:33.073951,2025-11-17T02:43:33.073951
art_000018,Cosmic Phoenix,metal|electronic,53.8,1963-12-03,Member 1,spotify_000018,2025-11-17T02:43:33.073957,2025-11-17T02:43:33.073957
art_000019,Electric Stars,pop|metal,52.15,1982-11-28,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000019,2025-11-17T02:43:33.073963,2025-11-17T02:43:33.073963
art_000020,Steel Phoenix,disco,42.29,1970-12-01,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000020,2025-11-17T02:43:33.073971,2025-11-17T02:43:33.073971
art_000021,Waves,latin|funk,83.18,1979-11-29,Member 1|Member 2,spotify_000021,2025-11-17T02:43:33.073977,2025-11-17T02:43:33.073977
art_000022,Crystal Waves,folk|electronic|blues,84.87,2001-11-23,Member 1|Member 2|Member 3|Member 4,,2025-11-17T02:43:33.073984,2025-11-17T02:43:33.073984
art_000023,Storms,alternative|classical,61.21,1991-11-26,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,,2025-11-17T02:43:33.073990,2025-11-17T02:43:33.073990
art_000024,Crystal Thunder,blues,47.13,2020-11-18,Member 1|Member 2,spotify_000024,2025-11-17T02:43:33.073995,2025-11-17T02:43:33.073995
art_000025,Dreams,metal,16.72,2007-11-22,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,,2025-11-17T02:43:33.074001,2025-11-17T02:43:33.074001
art_000026,Skies,indie,48.85,1984-11-27,Member 1|Member 2|Member 3|Member 4|Member 5,,2025-11-17T02:43:33.074007,2025-11-17T02:43:33.074007
art_000027,Dreams,hip hop|soul|classical,18.02,2003-11-23,Member 1|Member 2|Member 3|Member 4|Member 5,spotify_000027,2025-11-17T02:43:33.074013,2025-11-17T02:43:33.074013
art_000028,Cosmic Waves,metal|hip hop,27.35,2017-11-19,Member 1|Member 2|Member 3,,2025-11-17T02:43:33.074019,2025-11-17T02:43:33.074019
art_000029,The Echoes,alternative|punk|classical,17.44,2012-11-20,Member 1|Member 2|Member 3,spotify_000029,2025-11-17T02:43:33.074025,2025-11-17T02:43:33.074025
art_000030,Steel Rivers,country|indie,31.25,1960-12-03,Member 1|Member 2,,2025-11-17T02:43:33.074030,2025-11-17T02:43:33.074030
art_000031,Diamond Eagles,punk|pop|classical,47.16,1993-11-25,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,spotify_000031,2025-11-17T02:43:33.074036,2025-11-17T02:43:33.074036
art_000032,Dragons,rock|latin|r&b,56.72,1974-11-30,Member 1|Member 2|Member 3,spotify_000032,2025-11-17T02:43:33.074042,2025-11-17T02:43:33.074042
art_000033,Flames,latin,56.05,2006-11-22,Member 1,spotify_000033,2025-11-17T02:43:33.074048,2025-11-17T02:43:33.074048
art_000034,Electric Phoenix,metal|pop|electronic,72.74,2005-11-22,Member 1|Member 2|Member 3,spotify_000034,2025-11-17T02:43:33.074054,2025-11-17T02:43:33.074054
art_000035,Iron Skies,latin|disco|hip hop,74.11,2008-11-21,Member 1|Member 2|Member 3|Member 4,,2025-11-17T02:43:33.074060,2025-11-17T02:43:33.074060
art_000036,Silver Storms,grunge,34.04,2001-11-23,Member 1|Member 2|Member 3|Member 4,,2025-11-17T02:43:33.074065,2025-11-17T02:43:33.074066
art_000037,Cosmic Waves,reggae,80.21,1967-12-02,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,spotify_000037,2025-11-17T02:43:33.074071,2025-11-17T02:43:33.074071
art_000038,Oceans,folk|disco,71.56,1983-11-28,Member 1|Member 2|Member 3,,2025-11-17T02:43:33.074077,2025-11-17T02:43:33.074077
art_000039,Silver Tigers,pop|country|electronic,50.31,2003-11-23,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,spotify_000039,2025-11-17T02:43:33.074083,2025-11-17T02:43:33.074083
art_000040,Thunder,alternative|country|hip hop,52.05,2003-11-23,Member 1,spotify_000040,2025-11-17T02:43:33.074090,2025-11-17T02:43:33.074090
art_000041,Mountains,grunge|disco,46.68,1999-11-24,Member 1,spotify_000041,2025-11-17T02:43:33.074096,2025-11-17T02:43:33.074096
art_000042,Horizons,folk,86.25,2013-11-20,Member 1|Member 2|Member 3|Member 4|Member 5,,2025-11-17T02:43:33.074102,2025-11-17T02:43:33.074102
art_000043,Midnight Legends,disco|metal|indie,71.91,1969-12-01,Member 1|Member 2|Member 3,,2025-11-17T02:43:33.074108,2025-11-17T02:43:33.074108
art_000044,Electric Phoenix,metal|hip hop|blues,39.74,1977-11-29,Member 1,,2025-11-17T02:43:33.074113,2025-11-17T02:43:33.074113
art_000045,Velvet Eagles,rock|soul|metal,34.23,1980-11-28,Member 1|Member 2|Member 3,,2025-11-17T02:43:33.074118,2025-11-17T02:43:33.074119
art_000046,Neon Shadows,rock,34.61,1986-11-27,Member 1|Member 2|Member 3|Member 4|Member 5,,2025-11-17T02:43:33.074125,2025-11-17T02:43:33.074125
art_000047,Velvet Dreams,country|pop,67.6,2012-11-20,Member 1|Member 2,spotify_000047,2025-11-17T02:43:33.074131,2025-11-17T02:43:33.074131
art_000048,Velvet Ravens,classical|punk|country,57.61,2007-11-22,Member 1,spotify_000048,2025-11-17T02:43:33.074136,2025-11-17T02:43:33.074136
art_000049,Diamond Tigers,hip hop,32.69,1980-11-28,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,spotify_000049,2025-11-17T02:43:33.074142,2025-11-17T02:43:33.074142
art_000050,Cosmic Stars,latin|indie,31.66,1989-11-26,Member 1|Member 2|Member 3|Member 4|Member 5|Member 6,spotify_000050,2025-11-17T02:43:33.074147,2025-11-17T02:43:33.074148
art_000051,Cosmic Storms Y,soul|punk,32.03,2014-11-20,Member 1|Member 2|Member 3,,2025-11-17T02:43:33.074155,2025-11-17T02:43:33.074155
art_000052,Silver Echoes Z,reggae,46.09,1964-12-02,Member 1,spotify_000052,2025-11-17T02:43:33.074161,2025-11-17T02:43:33.074161
art_000053,Silver Horizons A,reggae|grunge,22.14,2019-11-19,Member 1|Member 2,spotify_000053,2025-11-17T02:43:33.074167,2025-11-17T02:43:33.074167
art_000054,Skies B,grunge|alternative|indie,37.03,1966-12-02,Member 1|Member 2|Member 3|Member 4|Member 5,,2025-11-17T02:43:33.074172,2025-11-17T02:43:33.074172
art_000055,Waves C,punk,12.55,2003-11-23,Member 1|Member 2|Member 3,spotify_000055,2025-11-17T02:43:33.074178,2025-11-17T02:43:33.074178
