concert_id,artist_id,venue_id,event_date,ticket_prices,total_attendance,revenue,status,created_at,updated_at
con_000001,art_000446,ven_000422,2022-07-16T19:30:00,general:59.48|premium:89.22|vip:148.7,231,22899.8,completed,2025-11-17T02:43:33.088617,2025-11-17T02:43:33.088617
con_000002,art_000669,ven_000228,2024-03-10T19:15:00,general:93.06|vip:232.66|early_bird:74.45|standing:83.76|seated:111.68,28234,3363290.55,completed,2025-11-17T02:43:33.088654,2025-11-17T02:43:33.088654
con_000003,art_000632,ven_000008,2024-01-28T20:15:00,general:49.32|premium:73.98|vip:123.3|early_bird:39.46|seated:59.19,2693,185951.65,completed,2025-11-17T02:43:33.088666,2025-11-17T02:43:33.088666
con_000004,art_000074,ven_000184,2025-03-04T19:00:00,vip:153.78|early_bird:49.21|standing:55.36|seated:73.81,6886,571813.44,completed,2025-11-17T02:43:33.088676,2025-11-17T02:43:33.088676
con_000005,art_000572,ven_000498,2021-09-14T18:00:00,premium:78.05|early_bird:41.62|standing:46.83|seated:62.44,,,cancelled,2025-11-17T02:43:33.088683,2025-11-17T02:43:33.088683
con_000006,art_000038,ven_000487,2023-08-17T19:45:00,general:69.31|premium:103.97|vip:173.29|early_bird:55.45|standing:62.38|seated:83.18,3032,276710.43,completed,2025-11-17T02:43:33.088693,2025-11-17T02:43:33.088693
con_000007,art_000658,ven_000178,2025-02-26T18:45:00,general:60.0|early_bird:48.0|standing:54.0,314,16956.0,completed,2025-11-17T02:43:33.088701,2025-11-17T02:43:33.088701
con_000008,art_000767,ven_000333,2023-12-08T21:00:00,general:73.48|premium:110.21|vip:183.69|early_bird:58.78|standing:66.13|seated:88.17,3524,340923.51,completed,2025-11-17T02:43:33.088708,2025-11-17T02:43:33.088708
con_000009,art_000128,ven_000406,2023-06-28T21:45:00,general:47.85|vip:119.62|early_bird:38.28|standing:43.06|seated:57.42,118,7227.03,completed,2025-11-17T02:43:33.088717,2025-11-17T02:43:33.088717
con_000010,art_000890,ven_000174,2021-11-05T19:45:00,general:84.99|premium:127.49|vip:212.48|standing:76.49|seated:101.99,11360,1371015.68,completed,2025-11-17T02:43:33.088731,2025-11-17T02:43:33.088731
con_000011,art_000308,ven_000200,2023-07-22T19:30:00,general:78.68|vip:196.69|standing:70.81,3410,393491.27,completed,2025-11-17T02:43:33.088738,2025-11-17T02:43:33.088738
con_000012,art_000587,ven_000491,2021-07-02T19:45:00,general:34.82|premium:52.23|vip:87.05|early_bird:27.86|standing:31.34,1292,60284.72,completed,2025-11-17T02:43:33.088745,2025-11-17T02:43:33.088745
con_000013,art_000395,ven_000104,2023-09-05T18:00:00,early_bird:63.42|seated:95.13,13512,1071163.8,completed,2025-11-17T02:43:33.088752,2025-11-17T02:43:33.088753
con_000014,art_000489,ven_000457,2025-06-15T20:30:00,premium:114.13|vip:190.21|early_bird:60.87|standing:68.48|seated:91.3,338,35489.32,completed,2025-11-17T02:43:33.088760,2025-11-17T02:43:33.088760
con_000015,art_000924,ven_000267,2023-04-20T19:30:00,general:67.33|premium:101.0|vip:168.33,367,41184.74,completed,2025-11-17T02:43:33.088766,2025-11-17T02:43:33.088766
con_000016,art_000745,ven_000424,2022-10-13T20:15:00,general:68.05|premium:102.07|vip:170.12|standing:61.24|seated:81.66,7376,712728.13,completed,2025-11-17T02:43:33.088773,2025-11-17T02:43:33.088773
con_000017,art_000693,ven_000211,2023-08-10T21:30:00,general:69.57|premium:104.35|vip:173.92|early_bird:55.65|standing:62.61|seated:83.48,17694,1620711.42,completed,2025-11-17T02:43:33.088781,2025-11-17T02:43:33.088781
con_000018,art_000194,ven_000154,2024-08-06T18:15:00,general:54.28|premium:81.42|early_bird:43.42|standing:48.85,1444,82297.17,completed,2025-11-17T02:43:33.088788,2025-11-17T02:43:33.088788
con_000019,art_000540,ven_000189,2021-02-13T21:30:00,general:58.93|premium:88.4|early_bird:47.14,4728,306484.72,completed,2025-11-17T02:43:33.088795,2025-11-17T02:43:33.088795
con_000020,art_000366,ven_000025,2022-06-18T18:30:00,premium:80.63|vip:134.38|early_bird:43.0|standing:48.38,2124,162693.09,completed,2025-11-17T02:43:33.088801,2025-11-17T02:43:33.088802
con_000021,art_000844,ven_000204,2021-05-09T20:15:00,general:71.43|premium:107.15|vip:178.58|early_bird:57.14|standing:64.29|seated:85.72,2781,261557.69,completed,2025-11-17T02:43:33.088809,2025-11-17T02:43:33.088810
con_000022,art_000153,ven_000465,2022-06-16T20:00:00,general:50.32|early_bird:40.26|standing:45.29|seated:60.38,118,5789.38,completed,2025-11-17T02:43:33.088817,2025-11-17T02:43:33.088817
con_000023,art_000960,ven_000048,2024-03-08T20:15:00,premium:178.01|vip:296.69|early_bird:94.94,,,cancelled,2025-11-17T02:43:33.088823,2025-11-17T02:43:33.088823
con_000024,art_000763,ven_000003,2023-03-10T19:15:00,general:66.4|premium:99.61|vip:166.01|early_bird:53.12|standing:59.76|seated:79.68,3665,320430.95,completed,2025-11-17T02:43:33.088830,2025-11-17T02:43:33.088830
con_000025,art_000987,ven_000063,2023-04-28T18:15:00,premium:69.47|vip:115.79|seated:55.58,3711,297919.08,completed,2025-11-17T02:43:33.088837,2025-11-17T02:43:33.088837
con_000026,art_000147,ven_000293,2024-05-08T19:30:00,early_bird:63.32|standing:71.23|seated:94.98,11898,910315.98,completed,2025-11-17T02:43:33.088843,2025-11-17T02:43:33.088843
con_000027,art_000275,ven_000010,2023-02-15T20:45:00,general:68.94|premium:103.4|standing:62.04|seated:82.72,11596,919272.9,completed,2025-11-17T02:43:33.088850,2025-11-17T02:43:33.088850
con_000028,art_000742,ven_000336,2021-10-18T19:30:00,early_bird:41.41|standing:46.59|seated:62.12,968,48438.72,completed,2025-11-17T02:43:33.088857,2025-11-17T02:43:33.088857
con_000029,art_000370,ven_000089,2024-11-11T19:00:00,premium:119.38|vip:198.97|early_bird:63.67|seated:95.5,23287,2780002.06,completed,2025-11-17T02:43:33.088864,2025-11-17T02:43:33.088864
con_000030,art_000013,ven_000128,2024-02-08T18:00:00,general:78.98|premium:118.47|vip:197.45|early_bird:63.18|standing:71.08,1369,144884.01,completed,2025-11-17T02:43:33.088871,2025-11-17T02:43:33.088871
con_000031,art_000644,ven_000121,2023-07-16T19:45:00,early_bird:51.69|standing:58.16|seated:77.54,15909,993729.17,completed,2025-11-17T02:43:33.088877,2025-11-17T02:43:33.088877
con_000032,art_000222,ven_000461,2023-08-14T21:00:00,general:51.4|premium:77.09|vip:128.49|early_bird:41.12|standing:46.26|seated:61.68,4809,325441.06,completed,2025-11-17T02:43:33.088885,2025-11-17T02:43:33.088885
con_000033,art_000396,ven_000169,2023-08-13T21:15:00,general:62.16|standing:55.95|seated:74.59,108,6937.2,completed,2025-11-17T02:43:33.088891,2025-11-17T02:43:33.088891
con_000034,art_000150,ven_000186,2026-01-13T18:15:00,vip:185.16|early_bird:59.25|standing:66.66|seated:88.88,,,scheduled,2025-11-17T02:43:33.088898,2025-11-17T02:43:33.088898
con_000035,art_000595,ven_000030,2022-10-16T21:15:00,general:69.3|premium:103.96|early_bird:55.44|seated:83.16,3476,271006.34,completed,2025-11-17T02:43:33.088904,2025-11-17T02:43:33.088905
con_000036,art_000307,ven_000074,2023-01-05T21:30:00,general:53.68|premium:80.52|vip:134.21,1168,104500.96,completed,2025-11-17T02:43:33.088911,2025-11-17T02:43:33.088911
con_000037,art_000029,ven_000020,2025-04-11T19:15:00,general:40.21|premium:60.32|vip:100.53|seated:48.25,,,cancelled,2025-11-17T02:43:33.088917,2025-11-17T02:43:33.088918
con_000038,art_000660,ven_000016,2025-06-17T18:30:00,vip:179.57,7200,1292904.0,completed,2025-11-17T02:43:33.088925,2025-11-17T02:43:33.088925
con_000039,art_000478,ven_000482,2022-07-13T21:30:00,general:115.46|premium:173.18|vip:288.64|standing:103.91,41749,7109750.33,completed,2025-11-17T02:43:33.088932,2025-11-17T02:43:33.088932
con_000040,art_000170,ven_000389,2025-12-30T18:30:00,general:66.21|premium:99.31|early_bird:52.97|standing:59.59|seated:79.45,,,scheduled,2025-11-17T02:43:33.088938,2025-11-17T02:43:33.088939
con_000041,art_000478,ven_000406,2021-09-15T18:30:00,general:68.2|premium:102.31|vip:170.51|early_bird:54.56|standing:61.38,,,cancelled,2025-11-17T02:43:33.088946,2025-11-17T02:43:33.088946
con_000042,art_000637,ven_000346,2024-07-12T19:15:00,general:61.89|early_bird:49.51|standing:55.7,3716,206981.2,completed,2025-11-17T02:43:33.088952,2025-11-17T02:43:33.088953
con_000043,art_000997,ven_000433,2021-02-18T18:00:00,general:66.27|premium:99.4|early_bird:53.01|standing:59.64|seated:79.52,240,17176.32,completed,2025-11-17T02:43:33.088959,2025-11-17T02:43:33.088959
con_000044,art_000067,ven_000070,2022-05-16T19:30:00,general:63.34|premium:95.01|vip:158.36|early_bird:50.67|seated:76.01,4964,440197.59,completed,2025-11-17T02:43:33.088967,2025-11-17T02:43:33.088967
con_000045,art_000511,ven_000103,2023-08-30T19:15:00,premium:120.52|vip:200.86|standing:72.31,8474,1112043.02,completed,2025-11-17T02:43:33.088973,2025-11-17T02:43:33.088973
con_000046,art_000343,ven_000245,2022-07-30T19:00:00,general:78.22|premium:117.33|vip:195.56|early_bird:62.58|standing:70.4,23093,2420562.07,completed,2025-11-17T02:43:33.088980,2025-11-17T02:43:33.088980
con_000047,art_000791,ven_000015,2024-04-25T19:00:00,vip:201.49|early_bird:64.48|seated:96.72,11373,1374957.79,completed,2025-11-17T02:43:33.088989,2025-11-17T02:43:33.088989
con_000048,art_000371,ven_000145,2024-01-22T18:15:00,general:84.22|premium:126.33|vip:210.55|early_bird:67.38|standing:75.8,13309,1502000.5,completed,2025-11-17T02:43:33.088996,2025-11-17T02:43:33.088996
con_000049,art_000823,ven_000199,2025-12-13T21:00:00,general:64.16|vip:160.41|early_bird:51.33,,,scheduled,2025-11-17T02:43:33.089003,2025-11-17T02:43:33.089003
con_000050,art_000771,ven_000120,2025-01-28T18:45:00,general:48.66|vip:121.64|standing:43.79|seated:58.39,249,16961.88,completed,2025-11-17T02:43:33.089010,2025-11-17T02:43:33.089010
con_000051,art_000313,ven_000332,2022-11-03T19:00:00,general:48.08|early_bird:38.46|standing:43.27|seated:57.69,820,38437.5,completed,2025-11-17T02:43:33.089016,2025-11-17T02:43:33.089016
con_000052,art_000994,ven_000183,2024-07-17T20:30:00,general:49.88|premium:74.81|vip:124.69|early_bird:39.9|standing:44.89|seated:59.85,453,29748.51,completed,2025-11-17T02:43:33.089023,2025-11-17T02:43:33.089023
con_000053,art_000831,ven_000033,2022-04-10T18:15:00,premium:93.34|vip:155.57|early_bird:49.78,3958,394071.67,completed,2025-11-17T02:43:33.089030,2025-11-17T02:43:33.089030
con_000054,art_000231,ven_000024,2026-01-08T19:15:00,general:112.45|premium:168.67|vip:281.12|standing:101.2|seated:134.94,,,scheduled,2025-11-17T02:43:33.089037,2025-11-17T02:43:33.089037
con_000055,art_000306,ven_000274,2023-10-29T20:15:00,general:98.78|premium:148.17|vip:246.94|standing:88.9,32204,4692042.29,completed,2025-11-17T02:43:33.089044,2025-11-17T02:43:33.089044
con_000056,art_000387,ven_000228,2021-06-11T19:15:00,general:96.7|premium:145.05|early_bird:77.36|standing:87.03|seated:116.04,,,cancelled,2025-11-17T02:43:33.089050,2025-11-17T02:43:33.089050
con_000057,art_000519,ven_000352,2026-06-16T19:45:00,general:74.87|vip:187.18|early_bird:59.9|standing:67.38|seated:89.85,,,scheduled,2025-11-17T02:43:33.089056,2025-11-17T02:43:33.089056
con_000058,art_000587,ven_000405,2022-11-29T18:15:00,premium:54.26|vip:90.44|early_bird:28.94|standing:32.56|seated:43.41,2002,99943.84,completed,2025-11-17T02:43:33.089063,2025-11-17T02:43:33.089063
con_000059,art_000074,ven_000231,2023-03-25T20:45:00,vip:130.99|early_bird:41.92|standing:47.16|seated:62.88,328,23201.9,completed,2025-11-17T02:43:33.089070,2025-11-17T02:43:33.089070
con_000060,art_000423,ven_000498,2025-10-17T19:15:00,premium:88.17|vip:146.95|standing:52.9|seated:70.54,7580,679471.2,completed,2025-11-17T02:43:33.089076,2025-11-17T02:43:33.089076
con_000061,art_000376,ven_000046,2025-11-13T19:15:00,vip:133.29|early_bird:42.65|standing:47.98,4760,355286.4,completed,2025-11-17T02:43:33.089083,2025-11-17T02:43:33.089083
con_000062,art_000373,ven_000474,2024-07-04T19:30:00,premium:80.73|vip:134.54|standing:48.44,1108,97396.89,completed,2025-11-17T02:43:33.089089,2025-11-17T02:43:33.089089
con_000063,art_000290,ven_000418,2021-08-30T18:00:00,general:99.09|premium:148.64|seated:118.91,31433,3841531.71,completed,2025-11-17T02:43:33.089096,2025-11-17T02:43:33.089096
con_000064,art_000667,ven_000239,2023-04-21T20:15:00,premium:106.69|vip:177.81|early_bird:56.9|standing:64.01|seated:85.35,19885,1951752.52,completed,2025-11-17T02:43:33.089107,2025-11-17T02:43:33.089107
con_000065,art_000756,ven_000042,2024-01-09T21:00:00,vip:146.72|early_bird:46.95|standing:52.82|seated:70.43,525,41595.75,completed,2025-11-17T02:43:33.089115,2025-11-17T02:43:33.089116
con_000066,art_000006,ven_000140,2022-05-18T20:00:00,general:66.73|premium:100.09|vip:166.82,1551,172491.88,completed,2025-11-17T02:43:33.089124,2025-11-17T02:43:33.089124
con_000067,art_000672,ven_000260,2025-11-13T20:15:00,general:90.54|premium:135.8|vip:226.34|early_bird:72.43|standing:81.48|seated:108.64,26212,3124601.46,completed,2025-11-17T02:43:33.089131,2025-11-17T02:43:33.089131
con_000068,art_000693,ven_000349,2021-10-03T18:15:00,general:53.78|premium:80.67|vip:134.45|early_bird:43.02|standing:48.4|seated:64.54,8198,580500.38,completed,2025-11-17T02:43:33.089138,2025-11-17T02:43:33.089138
con_000069,art_000170,ven_000073,2024-05-17T18:15:00,general:66.42|early_bird:53.14|standing:59.78,367,21939.26,completed,2025-11-17T02:43:33.089144,2025-11-17T02:43:33.089144
con_000070,art_000542,ven_000270,2025-02-27T18:45:00,general:45.33|premium:68.0|vip:113.33|early_bird:36.27|standing:40.8|seated:54.4,1322,78907.98,completed,2025-11-17T02:43:33.089156,2025-11-17T02:43:33.089156
con_000071,art_000158,ven_000197,2024-12-20T18:15:00,general:68.37|premium:102.55|vip:170.92|early_bird:54.69,10822,1072811.92,completed,2025-11-17T02:43:33.089163,2025-11-17T02:43:33.089164
con_000072,art_000446,ven_000075,2025-01-30T20:00:00,general:70.21|premium:105.31|vip:175.52|early_bird:56.17,8724,888125.01,completed,2025-11-17T02:43:33.089172,2025-11-17T02:43:33.089172
con_000073,art_000861,ven_000077,2024-06-25T21:00:00,premium:116.5|vip:194.17|early_bird:62.13|standing:69.9,217,24016.47,completed,2025-11-17T02:43:33.089179,2025-11-17T02:43:33.089179
con_000074,art_000333,ven_000160,2021-08-18T21:45:00,general:66.06|vip:165.15|early_bird:52.85|standing:59.45,4596,394692.99,completed,2025-11-17T02:43:33.089186,2025-11-17T02:43:33.089186
con_000075,art_000404,ven_000197,2024-04-28T21:15:00,general:55.27|vip:138.17|seated:66.32,8897,770361.57,completed,2025-11-17T02:43:33.089193,2025-11-17T02:43:33.089193
con_000076,art_000545,ven_000441,2023-01-11T21:30:00,general:61.64|premium:92.46|early_bird:49.31|standing:55.48|seated:73.97,261,17375.29,completed,2025-11-17T02:43:33.089200,2025-11-17T02:43:33.089200
con_000077,art_000764,ven_000150,2024-03-27T18:00:00,general:80.95|premium:121.42|vip:202.37|early_bird:64.76|seated:97.14,12269,1390421.23,completed,2025-11-17T02:43:33.089207,2025-11-17T02:43:33.089207
con_000078,art_000008,ven_000463,2024-12-04T18:15:00,general:77.29|premium:115.94|vip:193.23,,,cancelled,2025-11-17T02:43:33.089213,2025-11-17T02:43:33.089213
con_000079,art_000427,ven_000367,2024-02-09T18:45:00,general:43.87|premium:65.81|vip:109.68|early_bird:35.1|seated:52.65,4937,303240.41,completed,2025-11-17T02:43:33.089220,2025-11-17T02:43:33.089220
con_000080,art_000813,ven_000209,2023-08-25T21:45:00,general:79.52|vip:198.81|early_bird:63.62|standing:71.57|seated:95.43,13263,1350040.77,completed,2025-11-17T02:43:33.089228,2025-11-17T02:43:33.089228
con_000081,art_000608,ven_000001,2022-09-05T21:15:00,general:62.66|premium:93.99|vip:156.65|early_bird:50.13|seated:75.19,7892,692317.81,completed,2025-11-17T02:43:33.089234,2025-11-17T02:43:33.089234
