venue_id,name,city,state,country,capacity,venue_type,address,postal_code,created_at,updated_at
ven_000001,San Jose Stadium,San Jose,CA,USA,11016,amphitheater,7045 Market St,58031,2025-11-17T02:43:33.086511,2025-11-17T02:43:33.086512
ven_000002,Jacksonville Center,Jacksonville,FL,USA,9443,arena,6764 Park Ave,34845,2025-11-17T02:43:33.086525,2025-11-17T02:43:33.086525
ven_000003,Uptown Boston Stadium,Boston,MA,USA,4474,hall,7511 Center St,33927,2025-11-17T02:43:33.086530,2025-11-17T02:43:33.086531
ven_000004,Modern Colorado Springs Theater,Colorado Springs,CO,USA,107,club,2999 Park Ave,23933,2025-11-17T02:43:33.086536,2025-11-17T02:43:33.086536
ven_000005,Modern Miami Auditorium,Miami,FL,USA,1928,theater,9298 Park Ave,83246,2025-11-17T02:43:33.086540,2025-11-17T02:43:33.086540
ven_000006,Uptown Austin Center,Austin,TX,USA,7759,amphitheater,414 Broadway,64194,2025-11-17T02:43:33.086546,2025-11-17T02:43:33.086546
ven_000007,Modern Sacramento Venue,Sacramento,CA,USA,412,club,291 Park Ave,22485,2025-11-17T02:43:33.086552,2025-11-17T02:43:33.086552
ven_000008,Phoenix Center,Phoenix,AZ,USA,4132,hall,6195 Center St,40170,2025-11-17T02:43:33.086560,2025-11-17T02:43:33.086560
ven_000009,The Louisville House,Louisville,KY,USA,10858,arena,3560 Center St,84353,2025-11-17T02:43:33.086567,2025-11-17T02:43:33.086567
ven_000010,Classic Tampa Palace,Tampa,FL,USA,15871,arena,9772 Broadway,10026,2025-11-17T02:43:33.086571,2025-11-17T02:43:33.086571
ven_000011,Memphis Amphitheater,Memphis,TN,USA,454,club,3883 Center St,22982,2025-11-17T02:43:33.086576,2025-11-17T02:43:33.086576
ven_000012,Majestic Louisville Amphitheater,Louisville,KY,USA,16873,arena,437 Broadway,80146,2025-11-17T02:43:33.086580,2025-11-17T02:43:33.086580
ven_000013,Modern New York Pavilion,New York,NY,USA,1294,theater,2965 Park Ave,25321,2025-11-17T02:43:33.086584,2025-11-17T02:43:33.086584
ven_000014,Honolulu House,Honolulu,HI,USA,64175,stadium,9699 Main St,93839,2025-11-17T02:43:33.086590,2025-11-17T02:43:33.086590
ven_000015,Royal Columbus Center,Columbus,OH,USA,12981,arena,5165 Market St,58634,2025-11-17T02:43:33.086594,2025-11-17T02:43:33.086594
ven_000016,Denver Arena,Denver,CO,USA,8657,amphitheater,7213 Main St,66443,2025-11-17T02:43:33.086598,2025-11-17T02:43:33.086598
ven_000017,Majestic Mesa Theater,Mesa,AZ,USA,1347,theater,1351 Center St,15937,2025-11-17T02:43:33.086602,2025-11-17T02:43:33.086602
ven_000018,Royal Chicago Auditorium,Chicago,IL,USA,290,club,480 Broadway,52086,2025-11-17T02:43:33.086606,2025-11-17T02:43:33.086606
ven_000019,Seattle Stadium,Seattle,WA,USA,8368,amphitheater,4373 Park Ave,74769,2025-11-17T02:43:33.086611,2025-11-17T02:43:33.086612
ven_000020,Classic Cleveland Pavilion,Cleveland,OH,USA,1492,theater,6492 Park Ave,71794,2025-11-17T02:43:33.086616,2025-11-17T02:43:33.086616
ven_000021,Grand Philadelphia Hall,Philadelphia,PA,USA,400,club,1138 Broadway,98555,2025-11-17T02:43:33.086620,2025-11-17T02:43:33.086620
ven_000022,Uptown San Antonio Stadium,San Antonio,TX,USA,148,club,6220 Market St,91973,2025-11-17T02:43:33.086624,2025-11-17T02:43:33.086624
ven_000023,Metro Dallas Venue,Dallas,TX,USA,10235,arena,6050 Main St,49452,2025-11-17T02:43:33.086628,2025-11-17T02:43:33.086628
ven_000024,Imperial Dallas Theater,Dallas,TX,USA,47124,stadium,2940 Market St,89839,2025-11-17T02:43:33.086631,2025-11-17T02:43:33.086632
ven_000025,The San Francisco Arena,San Francisco,CA,USA,3003,hall,3870 Broadway,45202,2025-11-17T02:43:33.086635,2025-11-17T02:43:33.086636
ven_000026,Baltimore Venue,Baltimore,MD,USA,11047,amphitheater,9350 Market St,26964,2025-11-17T02:43:33.086639,2025-11-17T02:43:33.086639
ven_000027,Fort Worth Theater,Fort Worth,TX,USA,402,club,7910 Park Ave,85618,2025-11-17T02:43:33.086643,2025-11-17T02:43:33.086643
ven_000028,Uptown Indianapolis Club,Indianapolis,IN,USA,10323,arena,2683 Center St,50918,2025-11-17T02:43:33.086647,2025-11-17T02:43:33.086647
ven_000029,Washington Club,Washington,DC,USA,5492,amphitheater,2820 Center St,40251,2025-11-17T02:43:33.086651,2025-11-17T02:43:33.086651
ven_000030,Metro Milwaukee Club,Milwaukee,WI,USA,4079,hall,1806 Center St,31409,2025-11-17T02:43:33.086655,2025-11-17T02:43:33.086655
ven_000031,Classic New York Auditorium,New York,NY,USA,287,club,5606 Market St,56376,2025-11-17T02:43:33.086658,2025-11-17T02:43:33.086659
